["ptc","eotp","tuo","apot","tpm","bsr","dca"]		[{"c1":"seeker"}]				17	34	["Fieldwork","Archaic Glyphs","No Stone Unturned","In the Know","Anatomical Diagrams","Scientific Theory","Charles Ross, Esq.","Forewarned","Logical Reasoning","Archaic Glyphs","Archaic Glyphs","Eureka!","Shortcut","Guidance","Arcane Insight","Eidetic Memory","No Stone Unturned"]
["ptc","eotp","tuo","apot","tpm","bsr","dca"]		[{"c1":"rogue"}]				17	34	["Stealth","Sleight of Hand","Daring Maneuver","Lockpicks","Knuckleduster","Moxie","Dario El-Amin","Sneak Attack","Cheap Shot","Pickpocketing","\"Watch this!\"",".41 Derringer","Narrow Escape","Suggestion","Charon's Obol","Lupara","Cheat Death"]
["ptc","eotp","tuo","apot","tpm","bsr","dca"]		[{"c1":"mystic"}]				17	34	["Alchemical Transmutation","Uncage the Soul","Astral Travel","Spirit Athame","David Renfield","Grounded","Storm of Spirits","Book of Shadows","Quantum Flux","Recharge","Torrent of Power","Scrying","St. Hubert's Key","Ward of Protection","Arcane Initiate","Time Warp","Seal of the Elder Sign"]
["ptc","eotp","tuo","apot","tpm","bsr","dca"]		[{"c1":"survivor"}]				17	34	["Lantern","Gravedigger's Shovel","Hiding Spot","Resourceful","Cherished Keepsake","Plucky","Fight or Flight","A Test of Will","Devil's Luck","Madame Labranche","Snare Trap","Waylay","A Chance Encounter","\"Not without a fight!\"","True Survivor","Newspaper","Infighting"]
["ptc","eotp","tuo","apot","tpm","bsr","dca"]		[{"c1":"neutral"}]				12	19	["Sophie","L'agneau Perdu","The Pattern","The First Show","Above and Below","Say Your Prayers","Desperate Search","Reckless Assault","Run For Your Life","Calling in Favors","Emergency Cache","Key of Ys"]
["tfa","tof","tbb","hote","tcoa","tdoy","sha"]						89	175	["Survival Knife","Venturer","Trusted","Reliable","Dr. Elli Horowitz","Ancient Stone","Tooth of Eztli","Unearth the Ancients","Treasure Hunter","Decorated Skull","Eavesdrop","\"You handle this one!\"","Mists of R'lyeh","The Chthonian Stone","Protective Incantation","Dark Prophecy","Improvised Weapon","Dumb Luck","Yaotl","Last Chance","Backpack","The Price of Failure","Accursed Fate","The Bell Tolls","Scene of the Crime","Marksmanship","Persuasion","Shrewd Analysis","Lucky Cigarette Case","Fence","Arcane Research","Counterspell","Perseverance","Stunning Blow","Second Wind","Take the Initiative","Well Prepared","Truth from Fiction","True Understanding","Quick Study","Hatchet Man","High Roller","Enraptured","Recall the Future","Try and Try Again","Cornered","Intrepid","Custom Ammunition","Otherworldly Compass","Expose Weakness","Lola Santiago","Olive McBride","Defiance","Premonition","Live and Learn","Take Heart","Against All Odds","Trench Coat","Ornate Bow","M1918 BAR","Ancient Stone","Ancient Stone","Slip Away","Pay Day","Sacrifice","Crystalline Elder Sign","On Your Own","Handcuffs","Blood Eclipse","Feed the Mind","Colt Vest Pocket","Coup de Grâce","The Skeleton Key","Mists of R'lyeh","Winging It","Old Hunting Rifle","Thermos","Hemispheric Map","Timeworn Brand","Kerosene","Flamethrower","Vantage Point","Pnakotic Manuscripts","Borrowed Time","All In","Shards of the Void","Seal of the Seventh Sign","Impromptu Barrier","Alter Fate"]
["tfa","tof","tbb","hote","tcoa","tdoy","sha"]		[{"c1":"guardian"}]				16	32	["Survival Knife","Venturer","Trusted","Reliable","Scene of the Crime","Marksmanship","Second Wind","Take the Initiative","Well Prepared","Intrepid","Custom Ammunition","M1918 BAR","Handcuffs","Blood Eclipse","Kerosene","Flamethrower"]
["tfa","tof","tbb","hote","tcoa","tdoy","sha"]		[{"c1":"seeker"}]				16	32	["Dr. Elli Horowitz","Ancient Stone","Tooth of Eztli","Unearth the Ancients","Persuasion","Shrewd Analysis","Truth from Fiction","True Understanding","Quick Study","Otherworldly Compass","Expose Weakness","Ancient Stone","Ancient Stone","Feed the Mind","Vantage Point","Pnakotic Manuscripts"]
["tfa","tof","tbb","hote","tcoa","tdoy","sha"]		[{"c1":"rogue"}]				16	32	["Treasure Hunter","Decorated Skull","Eavesdrop","\"You handle this one!\"","Lucky Cigarette Case","Fence","Hatchet Man","High Roller","Lola Santiago","Slip Away","Pay Day","Colt Vest Pocket","Coup de Grâce","The Skeleton Key","Borrowed Time","All In"]
["tfa","tof","tbb","hote","tcoa","tdoy","sha"]		[{"c1":"mystic"}]				16	32	["Mists of R'lyeh","The Chthonian Stone","Protective Incantation","Dark Prophecy","Arcane Research","Counterspell","Enraptured","Recall the Future","Olive McBride","Defiance","Premonition","Sacrifice","Crystalline Elder Sign","Mists of R'lyeh","Shards of the Void","Seal of the Seventh Sign"]
["tfa","tof","tbb","hote","tcoa","tdoy","sha"]		[{"c1":"survivor"}]				16	32	["Improvised Weapon","Dumb Luck","Yaotl","Last Chance","Perseverance","Stunning Blow","Try and Try Again","Cornered","Live and Learn","Take Heart","Against All Odds","On Your Own","Winging It","Old Hunting Rifle","Impromptu Barrier","Alter Fate"]
["tfa","tof","tbb","hote","tcoa","tdoy","sha"]		[{"c1":"neutral"}]				9	15	["Backpack","The Price of Failure","Accursed Fate","The Bell Tolls","Trench Coat","Ornate Bow","Thermos","Hemispheric Map","Timeworn Brand"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]						83	164	["Interrogate","Delay the Inevitable","Steadfast","Ace of Swords","Fingerprint Kit","Connect the Dots","Curiosity","Death • XIII","Well Connected","Money Talks","Cunning","The Moon • XVIII","Deny Existence","Eldritch Inspiration","Prophesy","Four of Cups","Track Shoes","Act of Desperation","Able Bodied","Five of Pentacles","Ace of Rods","Something Worth Fighting For","Crack the Case","Intel Report","Sign Magick","Banish","Meat Cleaver",".45 Thompson","Scroll of Secrets","Tennessee Sour Mash","Enchanted Blade","Grisly Totem","Alice Luxley","Well-Maintained","Mr. \"Rook\"","Hawk-Eye Folding Camera","Henry Wan","Swift Reflexes","Wither","Sixth Sense","Drawing Thin","Belly of the Beast",".45 Thompson",".45 Thompson","Scroll of Secrets","Scroll of Secrets","Tennessee Sour Mash","Tennessee Sour Mash","Enchanted Blade","Enchanted Blade","Grisly Totem","Grisly Totem","The Council's Coffer","Warning Shot","Telescopic Sight","Knowledge is Power","Esoteric Atlas","Investments","Decoy","De Vermis Mysteriis","Guiding Spirit","Fortune or Fate","Mk 1 Grenades","Agency Backup","Ghastly Revelation","Studious","Small Favor","Another Day, Another Dollar","Dayana Esperence","Deny Existence","Trial by Fire","Bait and Switch","Anna Kaslow","Hallowed Mirror","\"I've had worse…\"","Occult Lexicon","Glimpse the Unthinkable","\"You owe me one!\"","Double, Double","Wither","Sixth Sense","Lure","Eucatastrophe"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]		[{"c1":"guardian"}]				15	29	["Interrogate","Delay the Inevitable","Steadfast","Ace of Swords","Something Worth Fighting For","Alice Luxley","Well-Maintained",".45 Thompson","Enchanted Blade","Warning Shot","Telescopic Sight","Mk 1 Grenades","Agency Backup","Hallowed Mirror","\"I've had worse…\""]
["tcu","tsn","wos","fgg","uad","icc","bbt"]		[{"c1":"seeker"}]				15	29	["Fingerprint Kit","Connect the Dots","Curiosity","Death • XIII","Crack the Case","Mr. \"Rook\"","Hawk-Eye Folding Camera","Scroll of Secrets","Grisly Totem","Knowledge is Power","Esoteric Atlas","Ghastly Revelation","Studious","Occult Lexicon","Glimpse the Unthinkable"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]		[{"c1":"rogue"}]				15	30	["Well Connected","Money Talks","Cunning","The Moon • XVIII","Intel Report","Henry Wan","Swift Reflexes",".45 Thompson","Tennessee Sour Mash","Investments","Decoy","Small Favor","Another Day, Another Dollar","\"You owe me one!\"","Double, Double"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]		[{"c1":"mystic"}]				15	30	["Deny Existence","Eldritch Inspiration","Prophesy","Four of Cups","Sign Magick","Banish","Wither","Sixth Sense","Scroll of Secrets","Enchanted Blade","De Vermis Mysteriis","Dayana Esperence","Deny Existence","Wither","Sixth Sense"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]		[{"c1":"survivor"}]				15	30	["Track Shoes","Act of Desperation","Able Bodied","Five of Pentacles","Meat Cleaver","Drawing Thin","Belly of the Beast","Tennessee Sour Mash","Grisly Totem","Guiding Spirit","Fortune or Fate","Trial by Fire","Bait and Switch","Lure","Eucatastrophe"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]		[{"c1":"neutral"}]				3	6	["Ace of Rods","The Council's Coffer","Anna Kaslow"]
["tcu","tsn","wos","fgg","uad","icc","bbt"]		[{"c1":"*","c2":"*"},{"c1":"*","c2":"*","c3":"*"}]				5	10	[".45 Thompson","Scroll of Secrets","Tennessee Sour Mash","Enchanted Blade","Grisly Totem"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]						72	148	["The Hungering Blade","Solemn Vow","Segment of Onyx","Astounding Revelation","Crystallizer of Dreams","Easy Mark","Stargazing","Open Gate","Miss Doyle","Fortuitous Discovery","First Watch","Daring","Dream Diary","Followed","Momentum","Scroll of Prophecies","Read the Signs","Jessica Hyde","Tetsuo Mori","\"Fool me once...\"","Self-Sacrifice","Otherworld Codex","Dream-Enhancing Serum","\"Let God sort them out...\"","Swift Reload","Gregory Gry","Healing Words","Ethereal Form","Scrounge for Supplies","Brute Force","Versatile",".35 Winchester","Safeguard","Practice Makes Perfect","Extensive Research","Three Aces","Burglary","Spectral Razor","Word of Command","Moonstone","Sharp Vision","Lucid Dreaming","Heroic Rescue","Leadership","Dream Diary","Dream Diary","Dream Diary","Haste","Daredevil","Empower Self","Empower Self","Empower Self","Twila Katherine Price","A Glimmer of Hope","Expeditious Retreat","Empty Vessel","Surprising Find","Old Book of Lore","Garrote Wire","Delilah O'Rourke","Summoned Hound","Nothing Left to Lose","The Black Cat","Spiritual Resolve","Abigail Foreman","The Eye of Truth","Joey \"The Rat\" Vigil","Sawed-Off Shotgun","Mind's Eye","Shining Trapezohedron","Nightmare Bauble","Scavenging"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]		[{"c1":"guardian"}]				13	26	["The Hungering Blade","Solemn Vow","First Watch","Daring","Tetsuo Mori","\"Fool me once...\"","Self-Sacrifice",".35 Winchester","Safeguard","Heroic Rescue","Leadership","Empty Vessel","Spiritual Resolve"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]		[{"c1":"seeker"}]				14	31	["Segment of Onyx","Astounding Revelation","Dream Diary","Otherworld Codex","Dream-Enhancing Serum","Practice Makes Perfect","Extensive Research","Dream Diary","Dream Diary","Dream Diary","Surprising Find","Old Book of Lore","Abigail Foreman","The Eye of Truth"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]		[{"c1":"rogue"}]				15	32	["Crystallizer of Dreams","Easy Mark","Followed","Momentum","\"Let God sort them out...\"","Swift Reload","Gregory Gry","Three Aces","Burglary","Haste","Daredevil","Garrote Wire","Delilah O'Rourke","Joey \"The Rat\" Vigil","Sawed-Off Shotgun"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]		[{"c1":"mystic"}]				15	29	["Stargazing","Open Gate","Scroll of Prophecies","Read the Signs","Healing Words","Ethereal Form","Spectral Razor","Word of Command","Empower Self","Empower Self","Empower Self","Twila Katherine Price","Summoned Hound","Mind's Eye","Shining Trapezohedron"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]		[{"c1":"survivor"}]				12	24	["Miss Doyle","Fortuitous Discovery","Jessica Hyde","Scrounge for Supplies","Brute Force","Moonstone","Sharp Vision","A Glimmer of Hope","Expeditious Retreat","Nothing Left to Lose","Nightmare Bauble","Scavenging"]
["tde","sfk","tsh","dsm","pnr","wgd","woc"]		[{"c1":"neutral"}]				3	6	["Versatile","Lucid Dreaming","The Black Cat"]
["tic","itd","def","hhg","lif","lod","itm"]						90	169	["Book of Psalms","Blessed Blade","Rite of Sanctification","Hand of Fate","Cryptographic Cipher","Cryptic Grimoire","Deep Knowledge","Plan of Action",".25 Automatic","Dark Ritual","Obfuscation","Faustian Bargain","Sword Cane","Tides of Fate","Ward of Radiance","Promise of Power","Token of Faith","Keep Faith","Predestined","Beloved","Tempt Fate","Riot Whistle","Righteous Hunt","Sacred Covenant","Eldritch Sophist","Stirring Up Trouble","Blasphemous Covenant","Breaking and Entering","Skeptic","False Covenant","Armageddon","Eye of Chaos","Shroud of Shadows","Paradoxical Covenant","Mariner's Compass","Ancient Covenant","Keen Eye","Radiant Smite","The Truth Beckons","Gaze of Ouraxsh","Priest of Two Faiths","Under Surveillance","Blood Pact","Abyssal Tome","Butterfly Effect","Third Time's a Charm","Manipulate Destiny","Enchanted Armor","Blessing of Isis","Cryptic Grimoire","Cryptic Grimoire","Ríastrad","Tristan Botley","Curse of Aeons","Unrelenting","Signum Crucis","Holy Rosary","Shield of Faith","Fey","Guided by the Unseen","\"Lucky\" Penny","Eye of the Djinn","Armageddon","Eye of Chaos","Shroud of Shadows","Spirit of Humanity","Harmony Restored","Enchant Weapon","Nephthys","The Stygian Eye","Hyperawareness","Geas","Hard Knocks","Ikiaq","Flute of the Outer Gods","A Watchful Peace","Dig Deep","Favor of the Moon","Favor of the Sun","Purifying Corruption","Hallow","Holy Spear","Ancestral Knowledge","Ariadne's Twine",".25 Automatic","Justify the Means","Lucky Dice","Rite of Equilibrium","Jacob Morrison","Shrine of the Moirai"]
["tic","itd","def","hhg","lif","lod","itm"]		[{"c1":"guardian"}]				17	33	["Book of Psalms","Blessed Blade","Rite of Sanctification","Hand of Fate","Riot Whistle","Righteous Hunt","Sacred Covenant","Keen Eye","Radiant Smite","Enchanted Armor","Blessing of Isis","Holy Rosary","Shield of Faith","Enchant Weapon","Nephthys","Hallow","Holy Spear"]
["tic","itd","def","hhg","lif","lod","itm"]		[{"c1":"seeker"}]				17	32	["Cryptographic Cipher","Cryptic Grimoire","Deep Knowledge","Plan of Action","Eldritch Sophist","Stirring Up Trouble","Blasphemous Covenant","The Truth Beckons","Gaze of Ouraxsh","Cryptic Grimoire","Cryptic Grimoire","Fey","Guided by the Unseen","The Stygian Eye","Hyperawareness","Ancestral Knowledge","Ariadne's Twine"]
["tic","itd","def","hhg","lif","lod","itm"]		[{"c1":"rogue"}]				18	31	[".25 Automatic","Dark Ritual","Obfuscation","Faustian Bargain","Breaking and Entering","Skeptic","False Covenant","Priest of Two Faiths","Under Surveillance","Ríastrad","Tristan Botley","\"Lucky\" Penny","Eye of the Djinn","Geas","Hard Knocks",".25 Automatic","Justify the Means","Lucky Dice"]
["tic","itd","def","hhg","lif","lod","itm"]		[{"c1":"mystic"}]				17	32	["Sword Cane","Tides of Fate","Ward of Radiance","Promise of Power","Armageddon","Eye of Chaos","Shroud of Shadows","Paradoxical Covenant","Blood Pact","Abyssal Tome","Curse of Aeons","Armageddon","Eye of Chaos","Shroud of Shadows","Ikiaq","Flute of the Outer Gods","Rite of Equilibrium"]
["tic","itd","def","hhg","lif","lod","itm"]		[{"c1":"survivor"}]				16	31	["Token of Faith","Keep Faith","Predestined","Beloved","Mariner's Compass","Ancient Covenant","Butterfly Effect","Third Time's a Charm","Unrelenting","Signum Crucis","Spirit of Humanity","Harmony Restored","A Watchful Peace","Dig Deep","Jacob Morrison","Shrine of the Moirai"]
["tic","itd","def","hhg","lif","lod","itm"]		[{"c1":"neutral"}]				5	10	["Tempt Fate","Manipulate Destiny","Favor of the Moon","Favor of the Sun","Purifying Corruption"]
["eoep"]						115	212	["Discipline","Discipline","Discipline","Discipline","Geared Up","Toe to Toe","\"Get behind me!\"","Gang Up","Sweeping Kick","Defensive Stance","Butterfly Swords","Dodge","Combat Training","On the Hunt","Fang of Tyr'thrha","Butterfly Swords","Forced Learning","Jeremiah Kirby","Archive of Conduits","Written in the Stars","Hiking Boots","Join the Caravan","Survey the Area","Medical Texts","Unearth the Ancients","Scientific Theory","Archive of Conduits","Archive of Conduits","Archive of Conduits","Archive of Conduits","Prophesiae Profana","Underworld Support","Scout Ahead","21 or Bust","Counterespionage","Cheat the System","Untimely Transaction","Savant","The Red Clock","Money Talks","Black Market","Moxie","The Black Fan","The Red Clock","Down the Rabbit Hole","Dragon Pole","Meditative Trance","Close the Circle","Winds of Power","Foresight","Occult Theory","Parallel Fates","Astronomical Atlas","Healing Words","Grounded","True Magick","Short Supply","Schoffner's Catalogue","Bandages","Jury-Rig","Bangle of Jinxes","Burn After Reading","Strength in Numbers","Dauntless Spirit","Blood Will Have Blood","Fire Extinguisher","Plucky","Fend Off","Medical Student","On the Trail","On the Trail","Michael Leigh","Snipe","Old Shotgun","Quickdraw Holster","Brand of Cthugha","Nkosi Mabati","Brand of Cthugha","Cyclopean Hammer","Sledgehammer","Protective Gear","Sledgehammer","Pocket Telescope","Eon Chart","Gené Beauregard","Eon Chart","Divination","Protecting the Anirniq","Divination","Professor William Webb","Ice Pick","Professor William Webb","Ice Pick","Ethereal Slip","Blur","Ethereal Slip","Blur","\"Hit me!\"","Unscrupulous Loan","Precious Memento","Precious Memento","Talisman of Protection","Earthly Serenity","Enchanted Bow","Earthly Serenity","Prophetic","Sleuth","Bruiser","Crafty","Antiquary","In the Thick of It","Heavy Furs","Sled Dog","Rod of Animalism","Call for Backup"]
["eoep"]		[{"c1":"guardian"}]				12	23	["Geared Up","Toe to Toe","\"Get behind me!\"","Gang Up","Sweeping Kick","Defensive Stance","Butterfly Swords","Dodge","Combat Training","On the Hunt","Fang of Tyr'thrha","Butterfly Swords"]
["eoep"]		[{"c1":"seeker"}]				15	24	["Forced Learning","Jeremiah Kirby","Archive of Conduits","Written in the Stars","Hiking Boots","Join the Caravan","Survey the Area","Medical Texts","Unearth the Ancients","Scientific Theory","Archive of Conduits","Archive of Conduits","Archive of Conduits","Archive of Conduits","Prophesiae Profana"]
["eoep"]		[{"c1":"rogue"}]				13	22	["Underworld Support","Scout Ahead","21 or Bust","Counterespionage","Cheat the System","Untimely Transaction","Savant","The Red Clock","Money Talks","Black Market","Moxie","The Black Fan","The Red Clock"]
["eoep"]		[{"c1":"mystic"}]				12	23	["Down the Rabbit Hole","Dragon Pole","Meditative Trance","Close the Circle","Winds of Power","Foresight","Occult Theory","Parallel Fates","Astronomical Atlas","Healing Words","Grounded","True Magick"]
["eoep"]		[{"c1":"survivor"}]				12	23	["Short Supply","Schoffner's Catalogue","Bandages","Jury-Rig","Bangle of Jinxes","Burn After Reading","Strength in Numbers","Dauntless Spirit","Blood Will Have Blood","Fire Extinguisher","Plucky","Fend Off"]
["eoep"]		[{"c1":"neutral"}]				9	15	["Discipline","Discipline","Discipline","Discipline","In the Thick of It","Heavy Furs","Sled Dog","Rod of Animalism","Call for Backup"]
["eoep"]		[{"c1":"*","c2":"*"},{"c1":"*","c2":"*","c3":"*"}]				42	82	["Medical Student","On the Trail","On the Trail","Michael Leigh","Snipe","Old Shotgun","Quickdraw Holster","Brand of Cthugha","Nkosi Mabati","Brand of Cthugha","Cyclopean Hammer","Sledgehammer","Protective Gear","Sledgehammer","Pocket Telescope","Eon Chart","Gené Beauregard","Eon Chart","Divination","Protecting the Anirniq","Divination","Professor William Webb","Ice Pick","Professor William Webb","Ice Pick","Ethereal Slip","Blur","Ethereal Slip","Blur","\"Hit me!\"","Unscrupulous Loan","Precious Memento","Precious Memento","Talisman of Protection","Earthly Serenity","Enchanted Bow","Earthly Serenity","Prophetic","Sleuth","Bruiser","Crafty","Antiquary"]
["rtnotz"]						10	20	["Physical Training","Dynamite Blast","Hyperawareness","Barricade","Hard Knocks","Hot Streak","Arcane Studies","Mind Wipe","Dig Deep","Rabbit's Foot"]
["rtnotz"]		[{"c1":"guardian"}]				2	4	["Physical Training","Dynamite Blast"]
["rtnotz"]		[{"c1":"seeker"}]				2	4	["Hyperawareness","Barricade"]
["rtnotz"]		[{"c1":"rogue"}]				2	4	["Hard Knocks","Hot Streak"]
["rtnotz"]		[{"c1":"mystic"}]				2	4	["Arcane Studies","Mind Wipe"]
["rtnotz"]		[{"c1":"survivor"}]				2	4	["Dig Deep","Rabbit's Foot"]
["rtdwl"]						10	20	["Bandolier","Blackjack","Preposterous Sketches","Strange Solution","Contraband","Think on Your Feet","Rite of Seeking","Clarity of Mind","Oops!","Rise to the Occasion"]
["rtdwl"]		[{"c1":"guardian"}]				2	4	["Bandolier","Blackjack"]
["rtdwl"]		[{"c1":"seeker"}]				2	4	["Preposterous Sketches","Strange Solution"]
["rtdwl"]		[{"c1":"rogue"}]				2	4	["Contraband","Think on Your Feet"]
["rtdwl"]		[{"c1":"mystic"}]				2	4	["Rite of Seeking","Clarity of Mind"]
["rtdwl"]		[{"c1":"survivor"}]				2	4	["Oops!","Rise to the Occasion"]
["rtptc"]						10	20	[".32 Colt","\"Eat lead!\"","Logical Reasoning","Archaic Glyphs","Stealth","Suggestion","Alchemical Transmutation","Storm of Spirits","Lantern","Gravedigger's Shovel"]
["rtptc"]		[{"c1":"guardian"}]				2	4	[".32 Colt","\"Eat lead!\""]
["rtptc"]		[{"c1":"seeker"}]				2	4	["Logical Reasoning","Archaic Glyphs"]
["rtptc"]		[{"c1":"rogue"}]				2	4	["Stealth","Suggestion"]
["rtptc"]		[{"c1":"mystic"}]				2	4	["Alchemical Transmutation","Storm of Spirits"]
["rtptc"]		[{"c1":"survivor"}]				2	4	["Lantern","Gravedigger's Shovel"]
["rttfa"]						13	23	["Blood Eclipse","Survival Knife","Truth from Fiction","Ancient Stone","Decorated Skull","Colt Vest Pocket","Mists of R'lyeh","The Chthonian Stone","Alter Fate","On Your Own","Backpack","Fine Print","Sell Your Soul"]
["rttfa"]		[{"c1":"guardian"}]				2	4	["Blood Eclipse","Survival Knife"]
["rttfa"]		[{"c1":"seeker"}]				2	4	["Truth from Fiction","Ancient Stone"]
["rttfa"]		[{"c1":"rogue"}]				2	4	["Decorated Skull","Colt Vest Pocket"]
["rttfa"]		[{"c1":"mystic"}]				2	4	["Mists of R'lyeh","The Chthonian Stone"]
["rttfa"]		[{"c1":"survivor"}]				2	3	["Alter Fate","On Your Own"]
["rttfa"]		[{"c1":"neutral"}]				3	4	["Backpack","Fine Print","Sell Your Soul"]
["rttcu"]						13	23	["The Star • XVII","Hallowed Mirror","The World • XXI","Occult Lexicon","Knight of Swords","Well Connected","The Hierophant • V","Sign Magick","Nine of Rods","Trial by Fire","The Fool • 0","Moon Pendant","Observed"]
["rttcu"]		[{"c1":"guardian"}]				2	3	["The Star • XVII","Hallowed Mirror"]
["rttcu"]		[{"c1":"seeker"}]				2	3	["The World • XXI","Occult Lexicon"]
["rttcu"]		[{"c1":"rogue"}]				2	4	["Knight of Swords","Well Connected"]
["rttcu"]		[{"c1":"mystic"}]				2	4	["The Hierophant • V","Sign Magick"]
["rttcu"]		[{"c1":"survivor"}]				2	4	["Nine of Rods","Trial by Fire"]
["rttcu"]		[{"c1":"neutral"}]				3	5	["The Fool • 0","Moon Pendant","Observed"]
["nat"]						28	56	["Boxing Gloves","Flesh Ward","Grete Wagner","Physical Training","Relentless","Safeguard","Clean Them Out","Counterpunch","Dodge","\"Get over here!\"","Glory","Monster Slayer","One-Two Punch","Stand Together","Vicious Blow","Evidence!","Galvanize","Counterpunch","\"Get over here!\"","Lesson Learned","Mano a Mano","Overpower","Boxing Gloves","Grete Wagner","Dynamite Blast","Taunt","Physical Training","One-Two Punch"]
["nat"]		[{"c1":"guardian"}]				28	56	["Boxing Gloves","Flesh Ward","Grete Wagner","Physical Training","Relentless","Safeguard","Clean Them Out","Counterpunch","Dodge","\"Get over here!\"","Glory","Monster Slayer","One-Two Punch","Stand Together","Vicious Blow","Evidence!","Galvanize","Counterpunch","\"Get over here!\"","Lesson Learned","Mano a Mano","Overpower","Boxing Gloves","Grete Wagner","Dynamite Blast","Taunt","Physical Training","One-Two Punch"]
["har"]						29	56	["Arcane Enlightenment","Celaeno Fragments","Disc of Itzamna","Encyclopedia","Feed the Mind","Forbidden Tome","Higher Education","Laboratory Assistant","Whitton Greene","Burning the Midnight Oil","Cryptic Writings","Extensive Research","Occult Invocation","Preposterous Sketches","Deduction","Library Docent","Glimpse the Unthinkable","Esoteric Atlas","Whitton Greene","Cryptic Writings","\"I've got a plan!\"","Mind over Matter","Seeking Answers","Perception","Forbidden Tome","Forbidden Tome","Farsight","Miskatonic Archaeology Funding","The Necronomicon"]
["har"]		[{"c1":"seeker"}]				29	56	["Arcane Enlightenment","Celaeno Fragments","Disc of Itzamna","Encyclopedia","Feed the Mind","Forbidden Tome","Higher Education","Laboratory Assistant","Whitton Greene","Burning the Midnight Oil","Cryptic Writings","Extensive Research","Occult Invocation","Preposterous Sketches","Deduction","Library Docent","Glimpse the Unthinkable","Esoteric Atlas","Whitton Greene","Cryptic Writings","\"I've got a plan!\"","Mind over Matter","Seeking Answers","Perception","Forbidden Tome","Forbidden Tome","Farsight","Miskatonic Archaeology Funding","The Necronomicon"]
["win"]						28	56	["Lockpicks","Mauser C96","Switchblade","Lucky Cigarette Case","Lonnie Ritter","Leather Jacket","Streetwise","Cheap Shot","Daring Maneuver","Slip Away","Pilfer","Sneak By","Nimble","Daredevil","Opportunist","Liquid Courage","Mauser C96","Daring Maneuver","Cheap Shot","Slip Away","Manual Dexterity","Lucky Cigarette Case","Sharpshooter","Pilfer","Backstab","Copycat","Beretta M1918","Chuck Fergus"]
["win"]		[{"c1":"rogue"}]				28	56	["Lockpicks","Mauser C96","Switchblade","Lucky Cigarette Case","Lonnie Ritter","Leather Jacket","Streetwise","Cheap Shot","Daring Maneuver","Slip Away","Pilfer","Sneak By","Nimble","Daredevil","Opportunist","Liquid Courage","Mauser C96","Daring Maneuver","Cheap Shot","Slip Away","Manual Dexterity","Lucky Cigarette Case","Sharpshooter","Pilfer","Backstab","Copycat","Beretta M1918","Chuck Fergus"]
["jac"]						28	56	["Ritual Candles","Scrying Mirror","Azure Flame","Clairvoyance","Ineffable Truth","Familiar Spirit","Crystal Pendulum","Robes of Endless Night","Astral Travel","Hypnotic Gaze","Parallel Fates","Voice of Ra","Dark Prophecy","Defiance","Prescient","Eldritch Inspiration","Grotesque Statue","Robes of Endless Night","Hypnotic Gaze","Guts","Azure Flame","Clairvoyance","Ineffable Truth","Arcane Studies","Recharge","Azure Flame","Clairvoyance","Ineffable Truth"]
["jac"]		[{"c1":"mystic"}]				28	56	["Ritual Candles","Scrying Mirror","Azure Flame","Clairvoyance","Ineffable Truth","Familiar Spirit","Crystal Pendulum","Robes of Endless Night","Astral Travel","Hypnotic Gaze","Parallel Fates","Voice of Ra","Dark Prophecy","Defiance","Prescient","Eldritch Inspiration","Grotesque Statue","Robes of Endless Night","Hypnotic Gaze","Guts","Azure Flame","Clairvoyance","Ineffable Truth","Arcane Studies","Recharge","Azure Flame","Clairvoyance","Ineffable Truth"]
["ste"]						27	54	[".18 Derringer","Grimm's Fairy Tales","Old Keyring","Granny Orne","Mysterious Raven","Rabbit's Foot","Scrapper","Will to Survive","A Test of Will","Dumb Luck","Grit Your Teeth","Live and Learn","\"Look what I found!\"","Oops!","Take Heart","Cherished Keepsake","Leather Coat",".18 Derringer","A Test of Will","\"Look what I found!\"","Dumb Luck","Unexpected Courage","Granny Orne","Lucky!","Chainsaw","Quick Learner","Déjà Vu"]
["ste"]		[{"c1":"survivor"}]				27	54	[".18 Derringer","Grimm's Fairy Tales","Old Keyring","Granny Orne","Mysterious Raven","Rabbit's Foot","Scrapper","Will to Survive","A Test of Will","Dumb Luck","Grit Your Teeth","Live and Learn","\"Look what I found!\"","Oops!","Take Heart","Cherished Keepsake","Leather Coat",".18 Derringer","A Test of Will","\"Look what I found!\"","Dumb Luck","Unexpected Courage","Granny Orne","Lucky!","Chainsaw","Quick Learner","Déjà Vu"]
